country,country_code,gold,silver,bronze,total,gdp,gdp_year,population,gdp_normalized,Cluster
United States,USA,40,44,42,126,81695.19,2023,334.9,2.2396060690265176,2
China,CHN,40,27,24,91,12614.06,2023,1410.7,-0.464383113539993,0
Japan,JPN,20,12,13,45,33834.39,2023,124.5,0.3662278329006861,1
Australia,AUS,18,19,16,53,64711.77,2023,26.6,1.574837210106813,1
France,FRA,16,26,22,64,44460.82,2023,68.2,0.7821699544221529,1
Netherlands,NLD,15,7,12,34,62536.73,2023,17.9,1.4897013035046855,1
Great Britain,GBR,14,22,29,65,48866.6,2023,68.3,0.9546219895982984,1
South Korea,KOR,13,9,10,32,33121.37,2023,51.7,0.3383186431269583,1
Italy,ITA,12,13,15,40,38373.17,2023,58.8,0.5438857840958855,1
Germany,DEU,12,13,8,33,52745.76,2023,84.5,1.106460945872533,1
New Zealand,NZL,10,7,3,20,48527.83,2023,5.2,0.9413617777954798,1
Canada,CAN,9,7,11,27,53371.7,2023,40.1,1.13096163063168,1
Uzbekistan,UZB,8,2,3,13,2496.11,2023,36.4,-0.8604221961338768,0
Hungary,HUN,6,7,6,19,22147.21,2023,9.6,-0.0912344045396636,0
Spain,ESP,5,4,9,18,32676.98,2023,48.4,0.3209242294449478,1
Sweden,SWE,4,4,3,11,56305.25,2023,10.5,1.2457873068549556,1
Kenya,KEN,4,2,5,11,1949.9,2023,55.1,-0.8818020712373914,0
Norway,NOR,4,1,3,8,87961.78,2023,5.5,2.484894349220826,2
Ireland,IRL,4,0,3,7,103684.88,2023,5.3,3.100331478237267,2
Brazil,BRA,3,7,10,20,10043.62,2023,216.4,-0.564995856186737,0
Iran,IRN,3,6,3,12,4502.55,2023,89.2,-0.7818856687859781,0
Ukraine,UKR,3,5,4,12,5181.36,2023,37.0,-0.7553155345536925,0
Romania,ROU,3,4,2,9,18419.42,2023,19.1,-0.2371484021086034,0
Georgia,GEO,3,3,1,7,8120.36,2023,3.8,-0.6402765332003131,0
Belgium,BEL,3,1,6,10,53475.29,2023,11.8,1.1350163737926864,1
Bulgaria,BGR,3,1,3,7,15797.6,2023,6.4,-0.3397722723121818,0
Serbia,SRB,3,1,1,5,11360.96,2023,6.6,-0.5134322365736507,0
Czech Republic,CZE,3,0,2,5,30427.42,2023,10.9,0.2328714441831213,1
Denmark,DNK,2,2,5,9,67967.38,2023,5.9,1.702269031541341,1
Azerbaijan,AZE,2,2,3,7,7155.08,2023,10.1,-0.6780597408309325,0
Croatia,HRV,2,2,3,7,21459.78,2023,3.9,-0.1181419447575451,0
Cuba,CUB,2,1,6,9,56495.85,2022,11.2,1.2532478150747426,1
Bahrain,BHR,2,1,1,4,29084.31,2023,1.5,0.1802991294135613,1
Slovenia,SVN,2,1,0,3,32163.51,2023,2.1,0.3008258708110861,1
Taiwan,TPE,2,0,5,7,32443.71,2023,23.2,0.3117935224542357,1
Austria,AUT,2,0,3,5,56505.97,2023,9.1,1.2536439343988992,1
Hong Kong,HKG,2,0,2,4,50696.59,2023,7.5,1.0262518712201665,1
Philippines,PHL,2,0,2,4,3725.55,2023,117.3,-0.812299178160451,0
Algeria,DZA,2,0,1,3,5260.21,2023,45.6,-0.752229170056682,0
Indonesia,IDN,2,0,1,3,4940.55,2023,277.5,-0.7647413739262366,0
Israel,ISR,1,5,1,7,52261.68,2023,9.8,1.087512977252205,1
Poland,POL,1,4,5,10,22112.86,2023,36.7,-0.0925789399927049,0
Kazakhstan,KAZ,1,3,3,7,13136.62,2023,19.9,-0.4439289520744531,0
Jamaica,JAM,1,3,2,6,6874.2,2023,2.8,-0.689054009187563,0
South Africa,ZAF,1,3,2,6,6253.16,2023,60.4,-0.7133628970407453,0
Thailand,THA,1,3,2,6,7171.81,2023,71.8,-0.6774048913948514,0
Ethiopia,ETH,1,3,0,4,1293.78,2023,126.5,-0.9074840683683814,0
Switzerland,CHE,1,2,5,8,99994.94,2023,8.8,2.955899013911344,2
Ecuador,ECU,1,2,2,5,6533.35,2023,18.2,-0.7023956368198525,0
Portugal,PRT,1,2,1,4,27275.11,2023,10.5,0.1094830146641451,0
Greece,GRC,1,1,6,8,22990.01,2023,10.4,-0.0582453367136588,0
Argentina,ARG,1,1,1,3,13730.51,2023,46.7,-0.4206827756492206,0
Egypt,EGY,1,1,1,3,3512.58,2023,112.7,-0.8206352979693076,0
Tunisia,TUN,1,1,1,3,3895.39,2023,12.5,-0.8056512625463449,0
Botswana,BWA,1,1,0,2,7249.8,2023,2.7,-0.6743521892119491,0
Chile,CHL,1,1,0,2,17093.24,2023,19.6,-0.289058038996941,0
St Lucia,LCA,1,1,0,2,13980.09,2023,0.2,-0.4109136589572245,0
Uganda,UGA,1,1,0,2,1014.21,2023,48.6,-0.9184270604093356,0
Dominican Republic,DOM,1,0,2,3,10716.01,2023,11.3,-0.5386770150434914,0
Guatemala,GTM,1,0,1,2,5797.52,2023,17.6,-0.7311976607619612,0
Morocco,MAR,1,0,1,2,3672.11,2023,37.8,-0.8143909387022422,0
Dominica,DMA,1,0,0,1,8953.9,2023,0.1,-0.6076499223843568,0
Pakistan,PAK,1,0,0,1,1407.02,2023,240.5,-0.9030516027293012,0
Turkey,TUR,0,3,5,8,12985.75,2023,85.3,-0.4498343396668942,0
Mexico,MEX,0,3,2,5,13926.11,2023,128.5,-0.4130265563008976,0
Armenia,ARM,0,3,1,4,8715.77,2023,2.8,-0.6169708605920057,0
Colombia,COL,0,3,1,4,6979.73,2023,52.1,-0.6849233301086851,0
North Korea,PRK,0,2,4,6,1217.0,2023,26.2,-0.910489408458178,0
Kyrgyzstan,KGZ,0,2,4,6,1969.87,2023,7.1,-0.8810204009900192,0
Lithuania,LTU,0,2,2,4,27102.78,2023,2.9,0.102737634908028,0
India,IND,0,1,5,6,2484.85,2023,1428.6,-0.8608629375953397,0
Moldova,MDA,0,1,3,4,6650.65,2023,2.5,-0.6978042537444015,0
Kosovo,XKX,0,1,1,2,5943.13,2023,1.8,-0.7254981612767398,0
Cyprus,CYP,0,1,0,1,34701.44,2023,1.3,0.40016609970009,1
Fiji,FJI,0,1,0,1,5868.16,2023,0.9,-0.7284326539380066,0
Jordan,JOR,0,1,0,1,4482.09,2023,11.3,-0.7826865187239469,0
Mongolia,MNG,0,1,0,1,5764.8,2023,3.4,-0.7324783943870999,0
Panama,PAN,0,1,0,1,18661.77,2023,4.5,-0.2276622837084701,0
Tajikistan,TJK,0,0,3,3,1188.99,2023,10.1,-0.911585782200236,0
Albania,ALB,0,0,2,2,8367.78,2023,2.7,-0.6305919637158446,0
Grenada,GRD,0,0,2,2,10463.65,2023,0.1,-0.5485549471229534,0
Malaysia,MYS,0,0,2,2,11648.67,2023,34.3,-0.5021706268154401,0
Puerto Rico,PRI,0,0,2,2,36779.06,2023,3.2,0.481488770673825,1
Cape Verde,CPV,0,0,1,1,4321.58,2023,0.6,-0.7889692373722051,0
Ivory Coast,CIV,0,0,1,1,2728.8,2023,28.9,-0.851314191634075,0
Peru,PER,0,0,1,1,7789.87,2023,34.4,-0.6532126473742765,0
Qatar,QAT,0,0,1,1,87480.42,2022,2.7,2.4660528474544217,2
Singapore,SGP,0,0,1,1,84734.26,2023,5.9,2.358562032906413,2
Slovakia,SVK,0,0,1,1,24470.24,2023,5.4,-0.0003058399551311,0
Zambia,ZMB,0,0,1,1,1369.13,2023,20.6,-0.904534701661346,0
